Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,PriceDifference,RSI,MA,%K,%D,MACD,Signal Line,Upper Band,Lower Band
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200707,2020-07-10,023651,NYME,1,23,1310701,226114,228590,219526,184109,99533,259978,238118,262294,54821,131590,124368,1246634,1268602,64067,42099,1310701,226114,228590,219526,184109,99533,259978,238118,262294,54821,131590,124368,1246634,1268602,64067,42099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5751.0,-10442.0,-4285.0,3764.0,7136.0,-5628.0,2582.0,-25657.0,5870.0,-2583.0,17192.0,1452.0,-4985.0,-3920.0,-766.0,-1831.0,100,17.3,17.4,16.7,14.0,7.6,19.8,18.2,20.0,4.2,10.0,9.5,95.1,96.8,4.9,3.2,100,17.3,17.4,16.7,14.0,7.6,19.8,18.2,20.0,4.2,10.0,9.5,95.1,96.8,4.9,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315,43.0,38.0,19.0,18.0,30.0,65.0,67.0,77.0,39.0,44.0,57.0,264,250.0,315.0,43.0,38.0,19.0,18.0,30.0,65.0,67.0,77.0,39.0,44.0,57.0,264.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,19.5,29.8,34.5,12.3,12.5,20.5,20.3,18.2,19.5,29.8,34.5,12.3,12.5,20.5,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-07-10,1.776,1.835,1.737,1.805,1.0,47.97342878130755,1.7496500000000001,74.35897435897434,51.94681861348528,-0.08803692050966538,-0.011252784779597761,1.9519590652805356,1.5473409347194647
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200630,2020-07-03,023651,NYME,1,23,1316452,236556,232875,215762,176973,105161,257396,263775,256424,57404,114398,122916,1251619,1272522,64833,43930,1316452,236556,232875,215762,176973,105161,257396,263775,256424,57404,114398,122916,1251619,1272522,64833,43930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4914.0,-9245.0,-9020.0,5073.0,1579.0,-811.0,6561.0,-18154.0,3106.0,3218.0,28604.0,-95.0,7807.0,5209.0,-2893.0,-295.0,100,18.0,17.7,16.4,13.4,8.0,19.6,20.0,19.5,4.4,8.7,9.3,95.1,96.7,4.9,3.3,100,18.0,17.7,16.4,13.4,8.0,19.6,20.0,19.5,4.4,8.7,9.3,95.1,96.7,4.9,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,43.0,39.0,19.0,17.0,30.0,62.0,69.0,72.0,38.0,38.0,55.0,255,247.0,310.0,43.0,39.0,19.0,17.0,30.0,62.0,69.0,72.0,38.0,38.0,55.0,255.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,18.9,29.2,33.9,12.1,12.1,20.0,19.1,17.6,18.9,29.2,33.9,12.1,12.1,20.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-07-06,1.738,1.864,1.733,1.83,1.0,48.829080336020176,1.7546500000000003,81.4814814814815,34.60608374697722,-0.09936413585701653,-0.02887505499508152,1.9673927653540153,1.5419072346459852
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200623,2020-06-26,023651,NYME,1,23,1311538,245801,241895,210689,175394,105972,250835,281929,253318,54186,85794,123011,1243812,1267313,67726,44225,1311538,245801,241895,210689,175394,105972,250835,281929,253318,54186,85794,123011,1243812,1267313,67726,44225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10742.0,4177.0,4531.0,-2739.0,-2096.0,2031.0,28889.0,-636.0,-11192.0,-7276.0,16240.0,-18.0,13872.0,8860.0,-3130.0,1882.0,100,18.7,18.4,16.1,13.4,8.1,19.1,21.5,19.3,4.1,6.5,9.4,94.8,96.6,5.2,3.4,100,18.7,18.4,16.1,13.4,8.1,19.1,21.5,19.3,4.1,6.5,9.4,94.8,96.6,5.2,3.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,42.0,37.0,19.0,18.0,29.0,55.0,80.0,71.0,45.0,33.0,57.0,253,249.0,311.0,42.0,37.0,19.0,18.0,29.0,55.0,80.0,71.0,45.0,33.0,57.0,253.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,18.8,29.6,32.7,11.9,12.3,19.9,19.8,17.7,18.8,29.6,32.7,11.9,12.3,19.9,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-06-26,1.526,1.569,1.517,1.544,1.0,36.867433696977585,1.7550000000000001,0.0,21.993127147766327,-0.11492193965153397,-0.04608443192637202,1.968287056384113,1.5417129436158872
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200616,2020-06-19,023651,NYME,1,23,1300796,241624,237364,213428,177490,103941,221946,282565,264510,61462,69554,123029,1229940,1258453,70856,42343,1300796,241624,237364,213428,177490,103941,221946,282565,264510,61462,69554,123029,1229940,1258453,70856,42343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24452.0,9578.0,1555.0,1722.0,-17630.0,4734.0,11928.0,58922.0,-16785.0,3512.0,-14638.0,8326.0,23015.0,24484.0,1437.0,-32.0,100,18.6,18.2,16.4,13.6,8.0,17.1,21.7,20.3,4.7,5.3,9.5,94.6,96.7,5.4,3.3,100,18.6,18.2,16.4,13.6,8.0,17.1,21.7,20.3,4.7,5.3,9.5,94.6,96.7,5.4,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,42.0,39.0,22.0,16.0,28.0,55.0,77.0,71.0,44.0,34.0,57.0,253,251.0,312.0,42.0,39.0,22.0,16.0,28.0,55.0,77.0,71.0,44.0,34.0,57.0,253.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,18.1,28.9,33.1,12.3,12.5,19.6,19.9,17.1,18.1,28.9,33.1,12.3,12.5,19.6,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-06-19,1.637,1.684,1.63,1.669,1.0,40.731626581351485,1.7707000000000002,22.33676975945016,42.38258877434135,-0.10398776282705935,-0.0576650981065095,1.9638687018343508,1.5775312981656495
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200609,2020-06-12,023651,NYME,1,23,1276344,232046,235809,211706,195120,99207,210018,223643,281295,57950,84192,114703,1206925,1233969,69419,42375,1276344,232046,235809,211706,195120,99207,210018,223643,281295,57950,84192,114703,1206925,1233969,69419,42375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42909.0,-9469.0,-20744.0,-22062.0,-6385.0,460.0,-782.0,622.0,-12316.0,686.0,-4837.0,-605.0,-44088.0,-43805.0,1179.0,896.0,100,18.2,18.5,16.6,15.3,7.8,16.5,17.5,22.0,4.5,6.6,9.0,94.6,96.7,5.4,3.3,100,18.2,18.5,16.6,15.3,7.8,16.5,17.5,22.0,4.5,6.6,9.0,94.6,96.7,5.4,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,41.0,37.0,21.0,17.0,29.0,54.0,73.0,72.0,43.0,31.0,55.0,247,241.0,298.0,41.0,37.0,21.0,17.0,29.0,54.0,73.0,72.0,43.0,31.0,55.0,247.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,19.7,28.9,35.2,11.0,13.7,18.6,20.7,17.4,19.7,28.9,35.2,11.0,13.7,18.6,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-06-12,1.817,1.822,1.727,1.731,1.0,42.79763782593108,1.7792999999999999,43.642611683848806,63.00114547537228,-0.10124650058451823,-0.06638137860211125,1.9686824868242483,1.5899175131757515
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200602,2020-06-05,023651,NYME,1,23,1319253,241515,256553,233768,201505,98747,210800,223021,293611,57264,89029,115308,1251013,1277774,68240,41479,1319253,241515,256553,233768,201505,98747,210800,223021,293611,57264,89029,115308,1251013,1277774,68240,41479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69829.0,13621.0,17683.0,-5005.0,8515.0,577.0,9362.0,14418.0,18524.0,12295.0,-6952.0,16851.0,66225.0,69616.0,3604.0,213.0,100,18.3,19.4,17.7,15.3,7.5,16.0,16.9,22.3,4.3,6.7,8.7,94.8,96.9,5.2,3.1,100,18.3,19.4,17.7,15.3,7.5,16.0,16.9,22.3,4.3,6.7,8.7,94.8,96.9,5.2,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296,42.0,37.0,20.0,16.0,29.0,55.0,72.0,73.0,42.0,31.0,55.0,248,239.0,296.0,42.0,37.0,20.0,16.0,29.0,55.0,72.0,73.0,42.0,31.0,55.0,248.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,18.3,31.6,34.2,12.3,13.7,19.5,20.6,19.5,18.3,31.6,34.2,12.3,13.7,19.5,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-06-05,1.821,1.864,1.777,1.782,1.0,44.5225821190631,1.7862500000000001,61.16838487972508,79.1291342717859,-0.10258770404099038,-0.07362264368988708,1.9783518096299593,1.594148190370041
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200526,2020-05-29,023651,NYME,1,23,1249424,227894,238870,238773,192990,98170,201438,208603,275087,44969,95981,98457,1184788,1208158,64636,41266,1249424,227894,238870,238773,192990,98170,201438,208603,275087,44969,95981,98457,1184788,1208158,64636,41266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15974.0,-23083.0,-8151.0,11227.0,-3142.0,-8924.0,-11091.0,7726.0,11837.0,73.0,-21702.0,4803.0,-15158.0,-17553.0,-816.0,1579.0,100,18.2,19.1,19.1,15.4,7.9,16.1,16.7,22.0,3.6,7.7,7.9,94.8,96.7,5.2,3.3,100,18.2,19.1,19.1,15.4,7.9,16.1,16.7,22.0,3.6,7.7,7.9,94.8,96.7,5.2,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,39.0,35.0,20.0,16.0,25.0,60.0,61.0,65.0,32.0,36.0,50.0,234,216.0,278.0,39.0,35.0,20.0,16.0,25.0,60.0,61.0,65.0,32.0,36.0,50.0,234.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,19.3,31.2,35.3,13.2,13.9,21.0,21.2,19.4,19.3,31.2,35.3,13.2,13.9,21.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-05-29,1.819,1.865,1.763,1.849,0.0,46.82482635148059,1.7973,84.19243986254294,63.390835435908535,-0.10800010984847352,-0.08049813692160437,2.0124181804936407,1.582181819506359
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200519,2020-05-22,023651,NYME,1,23,1265398,250977,247021,227546,196132,107094,212529,200877,263250,44896,117683,93654,1199946,1225711,65452,39687,1265398,250977,247021,227546,196132,107094,212529,200877,263250,44896,117683,93654,1199946,1225711,65452,39687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12599.0,17854.0,8698.0,21130.0,15766.0,-9762.0,16436.0,-177.0,-13554.0,-20568.0,7909.0,2637.0,14173.0,11517.0,-1574.0,1082.0,100,19.8,19.5,18.0,15.5,8.5,16.8,15.9,20.8,3.5,9.3,7.4,94.8,96.9,5.2,3.1,100,19.8,19.5,18.0,15.5,8.5,16.8,15.9,20.8,3.5,9.3,7.4,94.8,96.9,5.2,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,41.0,36.0,19.0,16.0,27.0,60.0,64.0,74.0,35.0,36.0,57.0,245,235.0,289.0,41.0,36.0,19.0,16.0,27.0,60.0,64.0,74.0,35.0,36.0,57.0,245.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,18.8,30.3,33.5,12.1,13.6,19.9,21.3,18.3,18.8,30.3,33.5,12.1,13.6,19.9,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-05-22,1.87,1.903,1.832,1.881,0.0,47.923866070723946,1.81495,92.0265780730897,59.57918050941304,-0.12015921529950124,-0.08843035259718375,2.0958091892932713,1.5340908107067288
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200512,2020-05-15,023651,NYME,1,23,1252799,233123,238323,206416,180366,116856,196093,201054,276804,65464,109774,91017,1185773,1214194,67026,38605,1252799,233123,238323,206416,180366,116856,196093,201054,276804,65464,109774,91017,1185773,1214194,67026,38605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42026.0,-8990.0,-14559.0,-1538.0,-5498.0,2074.0,-19722.0,36838.0,42703.0,24352.0,-19910.0,1458.0,40337.0,43106.0,1689.0,-1080.0,100,18.6,19.0,16.5,14.4,9.3,15.7,16.0,22.1,5.2,8.8,7.3,94.6,96.9,5.4,3.1,100,18.6,19.0,16.5,14.4,9.3,15.7,16.0,22.1,5.2,8.8,7.3,94.6,96.9,5.4,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,44.0,40.0,21.0,15.0,28.0,53.0,69.0,75.0,40.0,33.0,53.0,245,241.0,293.0,44.0,40.0,21.0,15.0,28.0,53.0,69.0,75.0,40.0,33.0,53.0,245.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,19.2,26.7,33.2,9.9,13.0,17.8,21.2,16.2,19.2,26.7,33.2,9.9,13.0,17.8,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-05-15,1.675,1.732,1.634,1.646,1.0,38.00051121812347,1.8274000000000001,13.953488372092965,60.57585825027681,-0.1371890667617297,-0.09818209543009296,2.1407798099161868,1.5140201900838137
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200505,2020-05-08,023651,NYME,1,23,1210773,242113,252882,207954,185864,114782,215815,164216,234101,41112,129684,89559,1145436,1171088,65337,39685,1210773,242113,252882,207954,185864,114782,215815,164216,234101,41112,129684,89559,1145436,1171088,65337,39685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1543.0,-22151.0,-18399.0,-7636.0,4113.0,1308.0,22853.0,-13648.0,6794.0,693.0,25027.0,-8312.0,-6451.0,-3117.0,4908.0,1574.0,100,20.0,20.9,17.2,15.4,9.5,17.8,13.6,19.3,3.4,10.7,7.4,94.6,96.7,5.4,3.3,100,20.0,20.9,17.2,15.4,9.5,17.8,13.6,19.3,3.4,10.7,7.4,94.6,96.7,5.4,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,41.0,37.0,19.0,16.0,26.0,62.0,55.0,77.0,26.0,40.0,47.0,238,223.0,278.0,41.0,37.0,19.0,16.0,26.0,62.0,55.0,77.0,26.0,40.0,47.0,238.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,19.8,25.6,33.8,10.9,13.5,18.9,22.1,14.8,19.8,25.6,33.8,10.9,13.5,18.9,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-05-08,1.901,1.927,1.811,1.823,0.0,43.84366564536548,1.8566500000000001,72.75747508305645,88.15060908084162,-0.13300259983880292,-0.10514619631183496,2.205892352890624,1.5074076471093765
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200428,2020-05-01,023651,NYME,1,23,1212316,264264,271281,215590,181751,113474,192962,177864,227307,40419,104657,97871,1151887,1174205,60429,38111,1212316,264264,271281,215590,181751,113474,192962,177864,227307,40419,104657,97871,1151887,1174205,60429,38111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18042.0,12677.0,28952.0,-2145.0,2714.0,-1945.0,16387.0,1926.0,-31702.0,-2548.0,-7821.0,-8993.0,-18269.0,-16869.0,227.0,-1173.0,100,21.8,22.4,17.8,15.0,9.4,15.9,14.7,18.7,3.3,8.6,8.1,95.0,96.9,5.0,3.1,100,21.8,22.4,17.8,15.0,9.4,15.9,14.7,18.7,3.3,8.6,8.1,95.0,96.9,5.0,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,40.0,38.0,20.0,15.0,27.0,54.0,61.0,72.0,30.0,38.0,47.0,231,227.0,278.0,40.0,38.0,20.0,15.0,27.0,54.0,61.0,72.0,30.0,38.0,47.0,231.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.4,27.4,33.9,11.3,13.0,19.3,21.0,16.0,19.4,27.4,33.9,11.3,13.0,19.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-05-01,1.936,2.016,1.872,1.89,0.0,46.348691763894635,1.8819,95.01661129568102,76.34590351848611,-0.1437463806049759,-0.11286623317046315,2.2891102263217364,1.4746897736782634
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,200421,2020-04-24,023651,NYME,1,23,1230358,251587,242329,217735,179037,115419,176575,175938,259009,42967,112478,106864,1170156,1191074,60202,39284,1230358,251587,242329,217735,179037,115419,176575,175938,259009,42967,112478,106864,1170156,1191074,60202,39284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567.0,11050.0,17740.0,12210.0,18951.0,-12.0,11215.0,-24215.0,-17528.0,-7394.0,10170.0,-2654.0,6887.0,2452.0,-4320.0,115.0,100,20.4,19.7,17.7,14.6,9.4,14.4,14.3,21.1,3.5,9.1,8.7,95.1,96.8,4.9,3.2,100,20.4,19.7,17.7,14.6,9.4,14.4,14.3,21.1,3.5,9.1,8.7,95.1,96.8,4.9,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,36.0,33.0,20.0,15.0,27.0,52.0,62.0,77.0,32.0,40.0,56.0,237,230.0,278.0,36.0,33.0,20.0,15.0,27.0,52.0,62.0,77.0,32.0,40.0,56.0,237.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.7,26.3,32.6,10.4,12.1,18.4,20.5,15.0,17.7,26.3,32.6,10.4,12.1,18.4,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2020-04-24,1.955,1.988,1.865,1.895,0.0,46.53292853134404,1.9022,96.67774086378738,51.36266296396144,-0.16219031342863732,-0.12273104922209802,2.3496059030737193,1.4547940969262805
