Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,PriceDifference,RSI,RSI_LONG,MA,%K,%D,MACD,Signal Line,BIG MACD,BIG Signal Line,Upper Band,Lower Band,EMA,Percent_PMPU_Long,Percent_PMPU_Short,Percent_MM_Long,Percent_MM_Short,Percent_MM_Spread,Percent_SWAP_Long,Percent_SWAP_Short,Percent_SWAP_Spread,Percent_OR_Long,Percent_OR_Short,Percent_OR_Spread
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210504,2021-05-07,023651,NYME,1,23,1190727,171154,258006,215151,97142,99507,225916,175622,270861,44849,150957,105000,1132438,1157095,58289,33632,1190727,171154,258006,215151,97142,99507,225916,175622,270861,44849,150957,105000,1132438,1157095,58289,33632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31040.0,-16548.0,-2468.0,6040.0,-2577.0,-1580.0,19194.0,2709.0,16319.0,-2891.0,9792.0,11142.0,31676.0,33337.0,-636.0,-2297.0,100,14.4,21.7,18.1,8.2,8.4,19.0,14.7,22.7,3.8,12.7,8.8,95.1,97.2,4.9,2.8,100,14.4,21.7,18.1,8.2,8.4,19.0,14.7,22.7,3.8,12.7,8.8,95.1,97.2,4.9,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296,42.0,40.0,18.0,16.0,27.0,76.0,43.0,74.0,34.0,50.0,56.0,260,227.0,296.0,42.0,40.0,18.0,16.0,27.0,76.0,43.0,74.0,34.0,50.0,56.0,260.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,22.9,28.3,35.3,13.4,11.7,20.0,19.8,16.6,22.9,28.3,35.3,13.4,11.7,20.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-05-07,2.93,2.989,2.905,2.958,1.0,66.755577744974,58.12525155354166,2.707857142857143,80.10752688172047,66.6915165441714,0.097281194719546,0.1120591453264508,0.05907959779523786,0.17966152882788258,3.066884400079346,2.3488298856349403,2.7825057142797003,0.14189189189189189,0.13513513513513514,0.25675675675675674,0.14527027027027026,0.25,0.060810810810810814,0.05405405405405406,0.09121621621621621,0.11486486486486487,0.16891891891891891,0.1891891891891892
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210427,2021-04-30,023651,NYME,1,23,1159687,187702,260474,209111,99719,101087,206722,172913,254542,47740,141165,93858,1100762,1123758,58925,35929,1159687,187702,260474,209111,99719,101087,206722,172913,254542,47740,141165,93858,1100762,1123758,58925,35929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23990.0,-15257.0,-13507.0,7724.0,-3345.0,-1760.0,7413.0,13672.0,-13605.0,1421.0,4696.0,-11675.0,-25739.0,-25524.0,1749.0,1534.0,100,16.2,22.5,18.0,8.6,8.7,17.8,14.9,21.9,4.1,12.2,8.1,94.9,96.9,5.1,3.1,100,16.2,22.5,18.0,8.6,8.7,17.8,14.9,21.9,4.1,12.2,8.1,94.9,96.9,5.1,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290,40.0,39.0,17.0,16.0,26.0,69.0,51.0,74.0,35.0,46.0,45.0,244,223.0,290.0,40.0,39.0,17.0,16.0,26.0,69.0,51.0,74.0,35.0,46.0,45.0,244.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,21.8,30.0,34.3,13.7,12.6,20.5,19.2,18.2,21.8,30.0,34.3,13.7,12.6,20.5,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-04-30,2.906,2.962,2.891,2.931,1.0,65.517032236731,57.51077078627666,2.6518571428571427,75.26881720430109,52.169540481912236,0.07756619895889116,0.10516055605293888,0.028585910285610083,0.16375883194889404,2.9450588449244446,2.358655440789841,2.7240076190396003,0.13793103448275862,0.13448275862068965,0.23793103448275862,0.17586206896551723,0.25517241379310346,0.05862068965517241,0.05517241379310345,0.0896551724137931,0.1206896551724138,0.15862068965517243,0.15517241379310345
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210420,2021-04-23,023651,NYME,1,23,1183677,202959,273981,201387,103064,102847,199309,159241,268147,46319,136469,105533,1126501,1149282,57176,34395,1183677,202959,273981,201387,103064,102847,199309,159241,268147,46319,136469,105533,1126501,1149282,57176,34395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9989.0,-12347.0,-5217.0,-769.0,-4210.0,7541.0,-1446.0,-23303.0,3069.0,-3353.0,17310.0,-4024.0,-11329.0,-8834.0,1340.0,-1155.0,100,17.1,23.1,17.0,8.7,8.7,16.8,13.5,22.7,3.9,11.5,8.9,95.2,97.1,4.8,2.9,100,17.1,23.1,17.0,8.7,8.7,16.8,13.5,22.7,3.9,11.5,8.9,95.2,97.1,4.8,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291,42.0,43.0,17.0,17.0,28.0,65.0,54.0,76.0,33.0,48.0,53.0,255,229.0,291.0,42.0,43.0,17.0,17.0,28.0,65.0,54.0,76.0,33.0,48.0,53.0,255.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.2,30.6,33.6,13.1,12.2,20.1,18.8,19.0,20.2,30.6,33.6,13.1,12.2,20.1,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-04-23,2.747,2.764,2.72,2.73,1.0,54.76296282771299,52.71415604460205,2.609714285714286,44.698205546492666,30.886351277868414,0.017137477277515245,0.08755594029785414,-0.015786102478287933,0.1448593649647008,2.7706478715425473,2.4487806998860244,2.655010158719467,0.14432989690721648,0.14776632302405499,0.22336769759450173,0.18556701030927836,0.2611683848797251,0.058419243986254296,0.058419243986254296,0.09621993127147767,0.1134020618556701,0.16494845360824742,0.18213058419243985
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210413,2021-04-16,023651,NYME,1,23,1193666,215306,279198,202156,107274,95306,200755,182544,265078,49672,119159,109557,1137830,1158116,55836,35550,1193666,215306,279198,202156,107274,95306,200755,182544,265078,49672,119159,109557,1137830,1158116,55836,35550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26607.0,-21050.0,-13111.0,3598.0,-3832.0,-5448.0,6314.0,-12055.0,-1267.0,-3141.0,14921.0,-6428.0,-27422.0,-27220.0,815.0,613.0,100,18.0,23.4,16.9,9.0,8.0,16.8,15.3,22.2,4.2,10.0,9.2,95.3,97.0,4.7,3.0,100,18.0,23.4,16.9,9.0,8.0,16.8,15.3,22.2,4.2,10.0,9.2,95.3,97.0,4.7,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296,41.0,41.0,16.0,16.0,28.0,68.0,55.0,72.0,38.0,44.0,56.0,254,233.0,296.0,41.0,41.0,16.0,16.0,28.0,68.0,55.0,72.0,38.0,44.0,56.0,254.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,20.9,31.2,34.6,13.1,11.7,20.3,18.9,19.4,20.9,31.2,34.6,13.1,11.7,20.3,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-04-16,2.663,2.7,2.658,2.68,1.0,51.54060834623979,51.44810434740085,2.611,36.54159869494294,18.97770527460578,-0.015718272965325575,0.0669010976452182,-0.03701559371361318,0.1257146322888158,2.776497230590898,2.4455027694091025,2.6300135449592896,0.13851351351351351,0.13851351351351351,0.22972972972972974,0.1858108108108108,0.24324324324324326,0.05405405405405406,0.05405405405405406,0.0945945945945946,0.12837837837837837,0.14864864864864866,0.1891891891891892
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210406,2021-04-09,023651,NYME,1,23,1220273,236356,292309,198558,111106,100754,194441,194599,266345,52813,104238,115985,1165252,1185336,55021,34937,1220273,236356,292309,198558,111106,100754,194441,194599,266345,52813,104238,115985,1165252,1185336,55021,34937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24824.0,3492.0,-2090.0,-2014.0,-7891.0,6036.0,-5958.0,13045.0,14155.0,658.0,-4646.0,6957.0,23326.0,25566.0,1498.0,-742.0,100,19.4,24.0,16.3,9.1,8.3,15.9,15.9,21.8,4.3,8.5,9.5,95.5,97.1,4.5,2.9,100,19.4,24.0,16.3,9.1,8.3,15.9,15.9,21.8,4.3,8.5,9.5,95.5,97.1,4.5,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,40.0,38.0,17.0,15.0,28.0,59.0,63.0,72.0,40.0,44.0,59.0,254,237.0,300.0,40.0,38.0,17.0,15.0,28.0,59.0,63.0,72.0,40.0,44.0,59.0,254.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,20.6,31.3,33.8,13.1,12.2,20.1,19.7,19.6,20.6,31.3,33.8,13.1,12.2,20.1,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-04-09,2.52,2.552,2.503,2.526,1.0,40.31696085270826,47.42194615294934,2.6294285714285714,11.419249592169631,15.660685154975544,-0.06476084929112469,0.040568708257949615,-0.056723812249839245,0.1065105853306423,2.8502599011587533,2.4085972416983896,2.6133513932790526,0.13333333333333333,0.12666666666666668,0.19666666666666666,0.21,0.24,0.056666666666666664,0.05,0.09333333333333334,0.13333333333333333,0.14666666666666667,0.19666666666666666
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210330,2021-04-02,023651,NYME,1,23,1195449,232864,294399,200572,118997,94718,200399,181554,252190,52155,108884,109028,1141926,1159770,53523,35679,1195449,232864,294399,200572,118997,94718,200399,181554,252190,52155,108884,109028,1141926,1159770,53523,35679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12583.0,363.0,3455.0,3021.0,-2127.0,-4378.0,-479.0,-13820.0,7657.0,-9991.0,4608.0,-6696.0,-10503.0,-11301.0,-2080.0,-1282.0,100,19.5,24.6,16.8,10.0,7.9,16.8,15.2,21.1,4.4,9.1,9.1,95.5,97.0,4.5,3.0,100,19.5,24.6,16.8,10.0,7.9,16.8,15.2,21.1,4.4,9.1,9.1,95.5,97.0,4.5,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,43.0,42.0,16.0,16.0,27.0,62.0,56.0,72.0,38.0,43.0,59.0,260,233.0,300.0,43.0,42.0,16.0,16.0,27.0,62.0,56.0,72.0,38.0,43.0,59.0,260.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,21.1,31.5,34.5,13.2,13.1,20.5,20.6,19.7,21.1,31.5,34.5,13.2,13.1,20.5,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-04-05,2.593,2.616,2.488,2.511,1.0,39.14013888750707,47.02462237162304,2.7070000000000003,8.972267536704758,17.835780315388813,-0.07128743639621504,0.01819747932711668,-0.04716177682375289,0.09033454708505152,3.084318609842213,2.3296813901577877,2.6424685243720702,0.14333333333333334,0.14,0.20666666666666667,0.18666666666666668,0.24,0.05333333333333334,0.05333333333333334,0.09,0.12666666666666668,0.14333333333333334,0.19666666666666666
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210323,2021-03-26,023651,NYME,1,23,1208032,232501,290944,197551,121124,99096,200878,195374,244533,62146,104276,115724,1152429,1171071,55603,36961,1208032,232501,290944,197551,121124,99096,200878,195374,244533,62146,104276,115724,1152429,1171071,55603,36961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1340.0,5762.0,8542.0,5871.0,1250.0,-9577.0,5706.0,-3421.0,-4826.0,-79.0,7652.0,-972.0,1885.0,-1352.0,-3225.0,12.0,100,19.2,24.1,16.4,10.0,8.2,16.6,16.2,20.2,5.1,8.6,9.6,95.4,96.9,4.6,3.1,100,19.2,24.1,16.4,10.0,8.2,16.6,16.2,20.2,5.1,8.6,9.6,95.4,96.9,4.6,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,41.0,42.0,16.0,16.0,28.0,63.0,62.0,81.0,45.0,37.0,60.0,275,237.0,309.0,41.0,42.0,16.0,16.0,28.0,63.0,62.0,81.0,45.0,37.0,60.0,275.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,22.2,31.1,35.7,13.2,13.7,20.3,21.6,19.4,22.2,31.1,35.7,13.2,13.7,20.3,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-03-26,2.617,2.64,2.603,2.619,0.0,44.56287889138086,49.526860668317845,2.7642857142857147,26.590538336052244,24.632952691680277,-0.05492918987771711,0.0035721454861499177,-0.02512084102322909,0.07818134825340499,3.1240925407647033,2.404478887806726,2.686291365829427,0.13268608414239483,0.13592233009708737,0.20388349514563106,0.20064724919093851,0.2621359223300971,0.05177993527508091,0.05177993527508091,0.09061488673139159,0.14563106796116504,0.11974110032362459,0.1941747572815534
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210316,2021-03-19,023651,NYME,1,23,1209372,226739,282402,191680,119874,108673,195172,198795,249359,62225,96624,116696,1150544,1172423,58828,36949,1209372,226739,282402,191680,119874,108673,195172,198795,249359,62225,96624,116696,1150544,1172423,58828,36949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022.0,22312.0,37.0,4315.0,-12206.0,1867.0,-13966.0,44748.0,-14401.0,4108.0,-16626.0,-2165.0,2070.0,1254.0,952.0,1768.0,100,18.7,23.4,15.8,9.9,9.0,16.1,16.4,20.6,5.1,8.0,9.6,95.1,96.9,4.9,3.1,100,18.7,23.4,15.8,9.9,9.0,16.1,16.4,20.6,5.1,8.0,9.6,95.1,96.9,4.9,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,40.0,40.0,18.0,15.0,28.0,61.0,59.0,78.0,46.0,36.0,59.0,266,236.0,305.0,40.0,40.0,18.0,15.0,28.0,61.0,59.0,78.0,46.0,36.0,59.0,266.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,23.4,30.4,36.3,13.1,13.5,20.1,22.9,18.7,23.4,30.4,36.3,13.1,13.5,20.1,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-03-19,2.523,2.583,2.49,2.566,1.0,41.132204362848796,48.272589265091895,2.7991428571428574,17.944535073409444,31.158238172920065,-0.0649974692024835,-0.010141777451576772,-0.014554969897876635,0.06841963049332817,3.1400464184254697,2.458239295860245,2.708721821105903,0.13114754098360656,0.13114754098360656,0.2,0.19344262295081968,0.25573770491803277,0.05901639344262295,0.04918032786885246,0.09180327868852459,0.15081967213114755,0.1180327868852459,0.19344262295081968
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210309,2021-03-12,023651,NYME,1,23,1206350,204427,282365,187365,132080,106806,209138,154047,263760,58117,113250,118861,1148474,1171169,57876,35181,1206350,204427,282365,187365,132080,106806,209138,154047,263760,58117,113250,118861,1148474,1171169,57876,35181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.0,3808.0,-7227.0,71.0,-9419.0,27.0,-7548.0,33265.0,-627.0,4285.0,-18681.0,2420.0,2436.0,-242.0,-1284.0,1394.0,100,16.9,23.4,15.5,10.9,8.9,17.3,12.8,21.9,4.8,9.4,9.9,95.2,97.1,4.8,2.9,100,16.9,23.4,15.5,10.9,8.9,17.3,12.8,21.9,4.8,9.4,9.9,95.2,97.1,4.8,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,42.0,41.0,17.0,17.0,30.0,68.0,49.0,76.0,44.0,38.0,61.0,269,234.0,302.0,42.0,41.0,17.0,17.0,30.0,68.0,49.0,76.0,44.0,38.0,61.0,269.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,21.9,29.2,34.0,12.9,13.0,18.7,21.2,17.9,21.9,29.2,34.0,12.9,13.0,18.7,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-03-12,2.703,2.727,2.619,2.636,0.0,44.23090832935509,49.79002761975108,2.7988571428571425,29.363784665579146,44.37194127243068,-0.03484705766769869,-0.015082833494801157,0.01645482006756227,0.06294965041845786,3.140674693745285,2.457039591969,2.7562957614745374,0.1390728476821192,0.1357615894039735,0.2251655629139073,0.16225165562913907,0.25165562913907286,0.056291390728476824,0.056291390728476824,0.09933774834437085,0.1456953642384106,0.12582781456953643,0.20198675496688742
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210302,2021-03-05,023651,NYME,1,23,1205198,200619,289592,187294,141499,106779,216686,120782,264387,53832,131931,116441,1146038,1171411,59160,33787,1205198,200619,289592,187294,141499,106779,216686,120782,264387,53832,131931,116441,1146038,1171411,59160,33787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11159.0,1663.0,2490.0,7210.0,-3611.0,3867.0,-5101.0,-1675.0,6740.0,1075.0,7954.0,890.0,16344.0,16655.0,-5185.0,-5496.0,100,16.6,24.0,15.5,11.7,8.9,18.0,10.0,21.9,4.5,10.9,9.7,95.1,97.2,4.9,2.8,100,16.6,24.0,15.5,11.7,8.9,18.0,10.0,21.9,4.5,10.9,9.7,95.1,97.2,4.9,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,42.0,39.0,17.0,17.0,29.0,72.0,51.0,77.0,39.0,45.0,58.0,271,235.0,309.0,42.0,39.0,17.0,17.0,29.0,72.0,51.0,77.0,39.0,45.0,58.0,271.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,22.9,29.1,34.9,13.0,13.1,18.7,19.9,17.8,22.9,29.1,34.9,13.0,13.1,18.7,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2021-03-05,2.775,2.787,2.72,2.739,0.0,48.87472214966487,52.02448864711625,2.773142857142857,46.1663947797716,65.26469373125165,0.010503058980960045,-0.009965654999648917,0.04830418416142157,0.06140802238382306,3.190802093955796,2.355483620329918,2.7963943486327167,0.13592233009708737,0.1262135922330097,0.23300970873786409,0.1650485436893204,0.24919093851132687,0.05501618122977346,0.05501618122977346,0.09385113268608414,0.1262135922330097,0.14563106796116504,0.18770226537216828
