Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,OpenDXY,HighDXY,LowDXY,CloseDXY,OpenVIX,HighVIX,LowVIX,CloseVIX,OpenCHINA,HighCHINA,LowCHINA,CloseCHINA,OpenRUSSIA,HighRUSSIA,LowRUSSIA,CloseRUSSIA,OpenAUS,HighAUS,LowAUS,CloseAUS,OpenCANADA,HighCANADA,LowCANADA,CloseCANADA,PriceDifference,RSI,RSI_LONG,MA,%K,%D,MACD,Signal Line,BIG MACD,BIG Signal Line,Upper Band,Lower Band,EMA,Percent_PMPU_Long,Percent_PMPU_Short,Percent_MM_Long,Percent_MM_Short,Percent_MM_Spread,Percent_SWAP_Long,Percent_SWAP_Short,Percent_SWAP_Spread,Percent_OR_Long,Percent_OR_Short,Percent_OR_Spread
GOLD - COMMODITY EXCHANGE INC.,240618,2024-06-21,088691,CMX ,1,88,444345,15030,57588,55910,281082,12500,177639,17018,15366,109508,27045,10733,396686,421332,47659,23013,444345,15030,57588,55910,281082,12500,177639,17018,15366,109508,27045,10733,396686,421332,47659,23013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7488.0,-892.0,859.0,436.0,5904.0,1722.0,9215.0,1559.0,-592.0,1163.0,-339.0,-912.0,10140.0,8201.0,-2652.0,-713.0,100,3.4,13.0,12.6,63.3,2.8,40.0,3.8,3.5,24.6,6.1,2.4,89.3,94.8,10.7,5.2,100,3.4,13.0,12.6,63.3,2.8,40.0,3.8,3.5,24.6,6.1,2.4,89.3,94.8,10.7,5.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,8.0,15.0,21.0,27.0,27.0,98.0,23.0,37.0,84.0,34.0,31.0,248,160.0,308.0,8.0,15.0,21.0,27.0,27.0,98.0,23.0,37.0,84.0,34.0,31.0,248.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,42.1,28.1,58.5,17.8,39.9,26.8,56.1,17.8,42.1,28.1,58.5,17.8,39.9,26.8,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-06-21,"2,373.80","2,382.60","2,329.20",2331.2,105.64,105.92,105.54,105.8,13.22,13.78,12.99,13.2,0.1377,0.1378,0.1377,0.1377,0.011446,0.011448,0.011173,0.011445,1.5026,1.5081,1.499,1.5061,1.3691,1.372,1.3675,1.3694,,47.962847995024894,52.97878643632873,2354.0,66.51126651126643,68.02641802641797,-1.8859085330304879,-1.8859085330304879,33.23471948909901,33.23471948909901,2418.770878229437,2289.229121770563,2338.3216020880736,0.025974025974025976,0.048701298701298704,0.3181818181818182,0.07467532467532467,0.12012987012987013,0.06818181818181818,0.08766233766233766,0.08766233766233766,0.2727272727272727,0.11038961038961038,0.10064935064935066
GOLD - COMMODITY EXCHANGE INC.,240611,2024-06-14,088691,CMX ,1,88,436857,15922,56729,55474,275178,10778,168424,15459,15958,108345,27384,11645,386546,413131,50311,23726,436857,15922,56729,55474,275178,10778,168424,15459,15958,108345,27384,11645,386546,413131,50311,23726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10631.0,-40.0,881.0,-1264.0,-7605.0,60.0,-4136.0,-4802.0,-2020.0,-3661.0,381.0,-74.0,-11135.0,-13179.0,504.0,2548.0,100,3.6,13.0,12.7,63.0,2.5,38.6,3.5,3.7,24.8,6.3,2.7,88.5,94.6,11.5,5.4,100,3.6,13.0,12.7,63.0,2.5,38.6,3.5,3.7,24.8,6.3,2.7,88.5,94.6,11.5,5.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,8.0,13.0,20.0,24.0,23.0,88.0,27.0,40.0,82.0,35.0,30.0,236,156.0,294.0,8.0,13.0,20.0,24.0,23.0,88.0,27.0,40.0,82.0,35.0,30.0,236.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,42.4,27.7,59.1,17.7,40.5,26.6,56.6,17.8,42.4,27.7,59.1,17.7,40.5,26.6,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-06-14,"2,319.60","2,352.30","2,316.70",2349.1,105.23,105.81,105.18,105.55,12.22,13.45,12.12,12.66,0.1379,0.1379,0.1378,0.1378,0.011382,0.011383,0.011081,0.01138,1.5072,1.5173,1.5053,1.5115,1.3745,1.3782,1.3728,1.3738,0.0,52.0432467241264,55.156209462064474,2350.7714285714287,73.46542346542341,71.77040887019126,1.7452094120990296,0.13137921426368837,40.83702411453032,37.247046930298865,2422.703128980606,2278.8397281622515,2340.6954694507644,0.027210884353741496,0.04421768707482993,0.29931972789115646,0.09183673469387756,0.1360544217687075,0.06802721088435375,0.08163265306122448,0.0782312925170068,0.2789115646258503,0.11904761904761904,0.10204081632653061
GOLD - COMMODITY EXCHANGE INC.,240604,2024-06-07,088691,CMX ,1,88,447488,15962,55848,56738,282783,10718,172560,20261,17978,112006,27003,11719,397681,426310,49807,21178,447488,15962,55848,56738,282783,10718,172560,20261,17978,112006,27003,11719,397681,426310,49807,21178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37942.0,-2580.0,-3338.0,-12410.0,-6671.0,-10773.0,-1884.0,-5355.0,-6939.0,-287.0,2467.0,-1348.0,-36221.0,-31957.0,-1721.0,-5985.0,100,3.6,12.5,12.7,63.2,2.4,38.6,4.5,4.0,25.0,6.0,2.6,88.9,95.3,11.1,4.7,100,3.6,12.5,12.7,63.2,2.4,38.6,4.5,4.0,25.0,6.0,2.6,88.9,95.3,11.1,4.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,9.0,14.0,20.0,24.0,24.0,95.0,31.0,48.0,88.0,32.0,30.0,255,163.0,311.0,9.0,14.0,20.0,24.0,24.0,95.0,31.0,48.0,88.0,32.0,30.0,255.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,42.5,26.3,58.7,17.0,40.4,25.8,56.2,17.1,42.5,26.3,58.7,17.0,40.4,25.8,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-06-07,"2,395.70","2,406.70","2,304.20",2325.0,104.09,104.95,104.0,104.89,12.69,13.08,12.11,12.22,0.138,0.1381,0.138,0.138,0.011196,0.011263,0.011183,0.011196,1.5,1.5203,1.4966,1.5177,1.367,1.377,1.3664,1.3769,1.0,46.822364646884495,52.72718671301435,2350.5,64.10256410256407,73.10620974403564,-0.9999863202419874,-0.3322951851238836,46.234026491541954,40.581373365662444,2422.475458780148,2278.524541219852,2337.8939592676857,0.028938906752411574,0.04501607717041801,0.3054662379421222,0.09967845659163987,0.15434083601286175,0.06430868167202572,0.07717041800643087,0.07717041800643087,0.2829581993569132,0.10289389067524116,0.09646302250803858
GOLD - COMMODITY EXCHANGE INC.,240528,2024-05-31,088691,CMX ,1,88,485430,18542,59186,69148,289454,21491,174444,25616,24917,112293,24536,13067,433902,458267,51528,27163,485430,18542,59186,69148,289454,21491,174444,25616,24917,112293,24536,13067,433902,458267,51528,27163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45161.0,-1948.0,1726.0,-7023.0,-8410.0,-362.0,-16161.0,-16466.0,-10393.0,2169.0,-4305.0,-7707.0,-41425.0,-45917.0,-3736.0,756.0,100,3.8,12.2,14.2,59.6,4.4,35.9,5.3,5.1,23.1,5.1,2.7,89.4,94.4,10.6,5.6,100,3.8,12.2,14.2,59.6,4.4,35.9,5.3,5.1,23.1,5.1,2.7,89.4,94.4,10.6,5.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,9.0,17.0,17.0,27.0,25.0,100.0,26.0,45.0,87.0,37.0,36.0,261,167.0,316.0,9.0,17.0,17.0,27.0,25.0,100.0,26.0,45.0,87.0,37.0,36.0,261.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,37.5,25.5,53.6,15.5,35.0,24.3,50.6,16.0,37.5,25.5,53.6,15.5,35.0,24.3,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-05-31,"2,364.50","2,381.20","2,341.10",2345.8,104.76,104.9,104.36,104.67,14.5,14.87,12.84,12.92,0.1388,0.1388,0.1388,0.1388,0.011061,0.011061,0.011056,0.011164,1.5077,1.5093,1.4984,1.5033,1.3683,1.3692,1.362,1.3631,0.0,50.92357965724238,55.11994973675049,2363.1857142857143,77.74323904258631,85.0720217098476,7.936107258640277,2.4686541521945986,58.005450502660096,45.688712899109746,2444.8388365830133,2281.5325919884153,2342.1919456902474,0.028481012658227847,0.05379746835443038,0.31645569620253167,0.08227848101265822,0.14240506329113925,0.05379746835443038,0.08544303797468354,0.07911392405063292,0.27531645569620256,0.11708860759493671,0.11392405063291139
GOLD - COMMODITY EXCHANGE INC.,240521,2024-05-24,088691,CMX ,1,88,530591,20490,57460,76171,297864,21853,190605,42082,35310,110124,28841,20774,475327,504184,55264,26407,530591,20490,57460,76171,297864,21853,190605,42082,35310,110124,28841,20774,475327,504184,55264,26407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7639.0,-14956.0,-7545.0,961.0,20103.0,-1074.0,18737.0,649.0,-1047.0,4350.0,-2872.0,-1963.0,5008.0,6251.0,2631.0,1388.0,100,3.9,10.8,14.4,56.1,4.1,35.9,7.9,6.7,20.8,5.4,3.9,89.6,95.0,10.4,5.0,100,3.9,10.8,14.4,56.1,4.1,35.9,7.9,6.7,20.8,5.4,3.9,89.6,95.0,10.4,5.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,10.0,18.0,20.0,27.0,30.0,103.0,25.0,49.0,90.0,39.0,40.0,283,174.0,333.0,10.0,18.0,20.0,27.0,30.0,103.0,25.0,49.0,90.0,39.0,40.0,283.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,34.9,23.7,49.7,14.4,32.7,22.2,47.4,14.9,34.9,23.7,49.7,14.4,32.7,22.2,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-05-24,"2,330.40","2,349.00","2,326.30",2334.5,105.04,105.12,104.64,104.72,12.86,12.89,11.89,11.93,0.1381,0.1381,0.138,0.1381,0.010915,0.010915,0.010915,0.010915,1.5138,1.5172,1.5065,1.5095,1.3735,1.3741,1.3649,1.3677,1.0,48.83675682228473,54.068456326075214,2367.2285714285713,77.47282608695649,89.17214979564359,15.446960575309731,6.329406895862831,68.38250337363979,51.28871264998356,2447.6578127347525,2286.79933012239,2340.98926092033,0.03003003003003003,0.05405405405405406,0.30930930930930933,0.07507507507507508,0.14714714714714713,0.06006006006006006,0.08108108108108109,0.09009009009009009,0.2702702702702703,0.11711711711711711,0.12012012012012012
GOLD - COMMODITY EXCHANGE INC.,240514,2024-05-17,088691,CMX ,1,88,522952,35446,65005,75210,277761,22927,171868,41433,36357,105774,31713,22737,470319,497933,52633,25019,522952,35446,65005,75210,277761,22927,171868,41433,36357,105774,31713,22737,470319,497933,52633,25019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6883.0,-42.0,-2653.0,2079.0,9534.0,6647.0,7088.0,2752.0,-20442.0,-1590.0,-2183.0,1445.0,-4815.0,-4900.0,-2068.0,-1983.0,100,6.8,12.4,14.4,53.1,4.4,32.9,7.9,7.0,20.2,6.1,4.3,89.9,95.2,10.1,4.8,100,6.8,12.4,14.4,53.1,4.4,32.9,7.9,7.0,20.2,6.1,4.3,89.9,95.2,10.1,4.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,13.0,16.0,19.0,28.0,25.0,100.0,29.0,50.0,94.0,42.0,38.0,279,180.0,338.0,13.0,16.0,19.0,28.0,25.0,100.0,29.0,50.0,94.0,42.0,38.0,279.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,36.4,26.8,50.5,14.3,31.2,22.0,45.1,16.5,36.4,26.8,50.5,14.3,31.2,22.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-05-17,"2,381.40","2,427.40","2,377.80",2417.4,104.5,104.8,104.39,104.45,12.28,12.48,11.91,11.99,0.1385,0.1385,0.1384,0.1384,0.011005,0.011005,0.011005,0.01102,1.4975,1.5043,1.4921,1.4944,1.3621,1.3646,1.3602,1.3615,0.0,66.66115270799335,64.33690366938413,2368.785714285714,100.0,87.68283294842183,37.81150695820497,14.862806383660487,83.76438344549433,58.30913178702809,2446.6387749035475,2290.932653667881,2343.1523478937734,0.038461538461538464,0.047337278106508875,0.2958579881656805,0.08579881656804733,0.14792899408284024,0.05621301775147929,0.08284023668639054,0.07396449704142012,0.2781065088757396,0.1242603550295858,0.11242603550295859
GOLD - COMMODITY EXCHANGE INC.,240507,2024-05-10,088691,CMX ,1,88,529835,35488,67658,73131,268227,16280,164780,38681,56799,107364,33896,21292,475134,502833,54701,27002,529835,35488,67658,73131,268227,16280,164780,38681,56799,107364,33896,21292,475134,502833,54701,27002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10044.0,-2429.0,-986.0,46.0,-1629.0,357.0,-7073.0,1855.0,8154.0,367.0,-3918.0,6195.0,5617.0,10028.0,4427.0,16.0,100,6.7,12.8,13.8,50.6,3.1,31.1,7.3,10.7,20.3,6.4,4.0,89.7,94.9,10.3,5.1,100,6.7,12.8,13.8,50.6,3.1,31.1,7.3,10.7,20.3,6.4,4.0,89.7,94.9,10.3,5.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327,8.0,17.0,18.0,27.0,25.0,97.0,28.0,45.0,86.0,45.0,37.0,261,176.0,327.0,8.0,17.0,18.0,27.0,25.0,97.0,28.0,45.0,86.0,45.0,37.0,261.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,36.4,29.2,52.7,13.8,30.4,21.3,43.9,19.0,36.4,29.2,52.7,13.8,30.4,21.3,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-05-10,"2,353.50","2,385.30","2,352.00",2375.0,105.21,105.4,105.14,105.3,12.77,12.96,12.5,12.55,0.1385,0.1385,0.1384,0.1384,0.010915,0.010915,0.010915,0.010915,1.5108,1.5163,1.5094,1.514,1.368,1.3693,1.3636,1.3673,1.0,60.310677480854196,60.80133990149268,2360.6833333333334,90.0436232999743,82.08384177566013,30.50882980741426,18.82239751428929,82.65078779056785,63.04582812574535,,,2318.403130525031,0.024464831804281346,0.05198776758409786,0.2966360856269113,0.0856269113149847,0.13761467889908258,0.05504587155963303,0.08256880733944955,0.0764525993883792,0.26299694189602446,0.13761467889908258,0.11314984709480122
GOLD - COMMODITY EXCHANGE INC.,240430,2024-05-03,088691,CMX ,1,88,519791,37917,68644,73085,269856,15923,171853,36826,48645,106997,37814,15097,469517,492805,50274,26986,519791,37917,68644,73085,269856,15923,171853,36826,48645,106997,37814,15097,469517,492805,50274,26986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3542.0,0.0,-1866.0,-2788.0,-296.0,630.0,-4547.0,2565.0,4630.0,3862.0,-4569.0,395.0,2182.0,1489.0,1360.0,2053.0,100,7.3,13.2,14.1,51.9,3.1,33.1,7.1,9.4,20.6,7.3,2.9,90.3,94.8,9.7,5.2,100,7.3,13.2,14.1,51.9,3.1,33.1,7.1,9.4,20.6,7.3,2.9,90.3,94.8,9.7,5.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,7.0,16.0,20.0,28.0,27.0,97.0,25.0,49.0,92.0,41.0,40.0,261,184.0,326.0,7.0,16.0,20.0,28.0,27.0,97.0,25.0,49.0,92.0,41.0,40.0,261.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,36.0,28.6,51.8,14.2,30.1,22.0,44.2,18.3,36.0,28.6,51.8,14.2,30.1,22.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-05-03,"2,313.50","2,330.70","2,285.20",2308.6,105.31,105.37,104.52,105.03,14.51,14.58,13.48,13.49,0.1381,0.1382,0.1381,0.1382,0.010812,0.010812,0.010812,0.010723,1.5232,1.5242,1.5043,1.5129,1.3675,1.3694,1.3611,1.3688,1.0,46.67646693201208,54.198391605267005,2324.85,73.0048755452912,85.40263400900204,28.06390169703309,21.0433047559273,85.84600706363608,67.11873609604476,,,2299.5375073667083,0.02147239263803681,0.049079754601226995,0.29754601226993865,0.07668711656441718,0.15030674846625766,0.06134969325153374,0.08588957055214724,0.08282208588957055,0.2822085889570552,0.12576687116564417,0.12269938650306748
GOLD - COMMODITY EXCHANGE INC.,240423,2024-04-26,088691,CMX ,1,88,516249,37917,70510,75873,270152,15293,176400,34261,44015,103135,42383,14702,467335,491316,48914,24933,516249,37917,70510,75873,270152,15293,176400,34261,44015,103135,42383,14702,467335,491316,48914,24933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-944.0,120.0,-1190.0,-2139.0,3285.0,-1582.0,6490.0,-913.0,6950.0,-5732.0,703.0,-3720.0,387.0,3533.0,-1331.0,-4477.0,100,7.3,13.7,14.7,52.3,3.0,34.2,6.6,8.5,20.0,8.2,2.8,90.5,95.2,9.5,4.8,100,7.3,13.7,14.7,52.3,3.0,34.2,6.6,8.5,20.0,8.2,2.8,90.5,95.2,9.5,4.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,8.0,18.0,22.0,28.0,26.0,105.0,19.0,47.0,83.0,49.0,37.0,260,187.0,334.0,8.0,18.0,22.0,28.0,26.0,105.0,19.0,47.0,83.0,49.0,37.0,260.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,36.6,28.4,52.4,13.7,30.7,21.8,45.0,18.3,36.6,28.4,52.4,13.7,30.7,21.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly,2024-04-26,"2,344.20","2,364.40","2,338.00",2347.2,105.58,106.19,105.41,105.94,15.49,16.06,14.92,15.03,0.1381,0.1381,0.138,0.138,0.010838,0.010838,0.010838,0.010838,1.5342,1.5347,1.5256,1.5309,1.366,1.3698,1.3635,1.367,0.0,56.31612182389916,59.61951997706327,2300.3333333333335,83.20302648171493,94.4010088272383,55.65276648036661,29.03826211269778,102.51662731666102,73.00979776662953,,,2296.5166764889445,0.023952095808383235,0.05389221556886228,0.3143712574850299,0.05688622754491018,0.1407185628742515,0.0658682634730539,0.08383233532934131,0.07784431137724551,0.24850299401197604,0.1467065868263473,0.11077844311377245
